id,feedback,score,user_id,product_id,created_at
1,Đánh giá seed tự động cho sản phẩm: HONOR X8d 8GB 128GB - Đã kích hoạt,5,10,1,2026-03-29 10:43:57
2,Đánh giá seed tự động cho sản phẩm: POCO X8 Pro Max 5G 12GB 256GB - Đã kích hoạt,4,3,2,2026-03-29 10:43:57
3,Đánh giá seed tự động cho sản phẩm: Laptop Dell Inspiron 16 5630 - Cũ Trầy Xước,4,3,7,2026-03-29 10:43:57
4,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo Thinkbook X G2 IAH 21TU0002CD - Cũ Đẹp,3,7,9,2026-03-29 10:43:57
5,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo ThinkPad P16V Gen 1 21FC001YUS - Cũ Trầy Xước,5,11,10,2026-03-29 10:43:57
6,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 11 Pro Max Likgus BVC Clear,4,3,14,2026-03-29 10:43:57
7,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 14 Pro ESR Air Armor Clear,3,10,16,2026-03-29 10:43:57
8,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 14 Pro TGVIS Space Space Man,4,14,19,2026-03-29 10:43:57
9,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro Araree Nukin Clear,4,10,21,2026-03-29 10:43:57
10,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro JCPal DualPro with Magsafe Clear,4,15,22,2026-03-29 10:43:57
11,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro Max Likgus With Magsafe,5,6,25,2026-03-29 10:43:57
12,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro Max TGVIS Art,5,15,26,2026-03-29 10:43:57
13,Đánh giá seed tự động cho sản phẩm: PC Rosa Office 3200G,4,10,28,2026-03-29 10:43:57
14,Đánh giá seed tự động cho sản phẩm: PC Rosa Office 5500GT,4,17,29,2026-03-29 10:43:57
15,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ có dây Rapoo V501-87 đen xám cam,4,5,33,2026-03-29 10:43:57
16,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ gaming E-Dra EK3104K đen,5,9,34,2026-03-29 10:43:57
17,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ gaming E-Dra EK398PROV2 đen,4,6,37,2026-03-29 10:43:57
18,Đánh giá seed tự động cho sản phẩm: Chuột có dây E-dra EM6102,5,17,40,2026-03-29 10:43:57
19,Đánh giá seed tự động cho sản phẩm: Chuột gaming không dây E-dra EM623W,4,6,42,2026-03-29 10:43:57
20,Đánh giá seed tự động cho sản phẩm: OPPO A6t 6GB 256GB - Cũ đẹp,4,13,44,2026-03-29 10:43:57
21,Đánh giá seed tự động cho sản phẩm: Đồng hồ thông minh Garmin Fenix 6S - Cũ Xước Cấn,5,4,47,2026-03-29 10:43:57
22,Đánh giá seed tự động cho sản phẩm: Laptop ASUS ROG Strix G16 G614JV-N4369W - Cũ Trầy Xước,3,9,52,2026-03-29 10:43:57
23,Đánh giá seed tự động cho sản phẩm: Laptop ASUS TUF Gaming F16 FX608JMR-RV048W - Cũ Trầy Xước,3,8,53,2026-03-29 10:43:57
24,Đánh giá seed tự động cho sản phẩm: Laptop ASUS Gaming V16 K3607VJ-RP106W - Cũ Trầy Xước,4,8,54,2026-03-29 10:43:57
25,Đánh giá seed tự động cho sản phẩm: Laptop ASUS Vivobook S14 S3407VA-LY053W - Cũ Trầy Xước,4,14,56,2026-03-29 10:43:57
26,Đánh giá seed tự động cho sản phẩm: Laptop Dell 15 DC15250 79N4M - Cũ Đẹp,3,14,58,2026-03-29 10:43:57
27,Đánh giá seed tự động cho sản phẩm: Laptop Dell 15 DC15250 I5U165W11SLU - Cũ Trầy Xước,4,13,59,2026-03-29 10:43:57
28,Đánh giá seed tự động cho sản phẩm: Laptop Dell Latitude 5320 P138G001 - Cũ Trầy Xước,4,3,60,2026-03-29 10:43:57
29,Đánh giá seed tự động cho sản phẩm: Laptop Dell Vostro 3530 V5I3001W1 - Cũ Trầy Xước,5,10,61,2026-03-29 10:43:57
30,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo IdeaPad Slim 5 15ARP10 83J3001DVN - Cũ Trầy Xước,4,12,66,2026-03-29 10:43:57
31,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo LOQ 15IAX9E 83LK0079VN - Cũ Xước Cấn,4,14,68,2026-03-29 10:43:57
